fecha,busquedas,visitas,festivo,festividad
2015-10-17,47,19,0,
2015-10-18,44,26,0,
2015-10-19,52,21,0,
2015-10-20,50,20,0,
2015-10-21,55,30,0,
2015-10-22,56,43,0,
2015-10-23,57,30,0,
2015-10-24,46,23,0,
2015-10-25,41,30,0,
2015-10-26,65,50,0,
2015-10-27,45,27,0,
2015-10-28,52,40,0,
2015-10-29,51,34,0,
2015-10-30,50,33,0,
2015-10-31,50,33,0,
2015-11-01,36,17,0,
2015-11-02,98,44,1,DíaMuertos
2015-11-03,44,22,0,
2015-11-04,46,30,0,
2015-11-05,59,29,0,
2015-11-06,54,41,0,
2015-11-07,61,28,0,
2015-11-08,50,31,0,
2015-11-09,47,30,0,
2015-11-10,40,31,0,
2015-11-11,67,51,0,
2015-11-12,41,22,0,
2015-11-13,41,28,0,
2015-11-14,49,34,0,
2015-11-15,42,25,0,
2015-11-16,43,22,0,
2015-11-17,49,29,0,
2015-11-18,44,27,0,
2015-11-19,37,15,0,
2015-11-20,101,59,1,RevoluciónMexicana
2015-11-21,60,44,0,
2015-11-22,47,24,0,
2015-11-23,60,40,0,
2015-11-24,49,36,0,
2015-11-25,57,44,0,
2015-11-26,49,32,0,
2015-11-27,62,32,0,
2015-11-28,64,37,0,
2015-11-29,44,20,0,
2015-11-30,45,32,0,
2015-12-01,55,36,0,
2015-12-02,39,28,0,
2015-12-03,49,21,0,
2015-12-04,45,28,0,
2015-12-05,55,22,0,
2015-12-06,50,30,0,
2015-12-07,46,31,0,
2015-12-08,48,29,0,
2015-12-09,47,36,0,
2015-12-10,59,44,0,
2015-12-11,42,22,0,
2015-12-12,54,22,0,
2015-12-13,44,24,0,
2015-12-14,50,29,0,
2015-12-15,51,24,0,
2015-12-16,55,31,0,
2015-12-17,38,15,0,
2015-12-18,54,26,0,
2015-12-19,52,33,0,
2015-12-20,53,37,0,
2015-12-21,56,42,0,
2015-12-22,56,43,0,
2015-12-23,52,35,0,
2015-12-24,67,40,0,
2015-12-25,133,105,1,Navidad
2015-12-26,58,41,0,
2015-12-27,44,19,0,
2015-12-28,63,38,0,
2015-12-29,46,27,0,
2015-12-30,53,37,0,
2015-12-31,54,41,0,
2016-01-01,115,79,1,AñoNuevo
2016-01-02,56,37,0,
2016-01-03,58,44,0,
2016-01-04,46,27,0,
2016-01-05,60,45,0,
2016-01-06,48,27,0,
2016-01-07,56,42,0,
2016-01-08,49,30,0,
2016-01-09,60,40,0,
2016-01-10,45,34,0,
2016-01-11,47,24,0,
2016-01-12,47,26,0,
2016-01-13,47,27,0,
2016-01-14,46,30,0,
2016-01-15,32,16,0,
2016-01-16,47,36,0,
2016-01-17,45,35,0,
2016-01-18,49,25,0,
2016-01-19,46,33,0,
2016-01-20,54,38,0,
2016-01-21,60,28,0,
2016-01-22,52,32,0,
2016-01-23,48,30,0,
2016-01-24,59,28,0,
2016-01-25,50,29,0,
2016-01-26,45,21,0,
2016-01-27,45,31,0,
2016-01-28,47,30,0,
2016-01-29,41,16,0,
2016-01-30,44,24,0,
2016-01-31,46,27,0,
2016-02-01,65,49,0,
2016-02-02,45,29,0,
2016-02-03,41,25,0,
2016-02-04,53,24,0,
2016-02-05,139,87,1,DíaConstitución
2016-02-06,44,33,0,
2016-02-07,52,29,0,
2016-02-08,45,25,0,
2016-02-09,53,32,0,
2016-02-10,50,30,0,
2016-02-11,59,45,0,
2016-02-12,50,30,0,
2016-02-13,51,37,0,
2016-02-14,59,33,0,
2016-02-15,52,23,0,
2016-02-16,54,26,0,
2016-02-17,55,33,0,
2016-02-18,58,33,0,
2016-02-19,61,44,0,
2016-02-20,54,29,0,
2016-02-21,54,37,0,
2016-02-22,53,32,0,
2016-02-23,49,28,0,
2016-02-24,54,41,0,
2016-02-25,52,30,0,
2016-02-26,48,36,0,
2016-02-27,47,29,0,
2016-02-28,60,41,0,
2016-02-29,46,28,0,
2016-03-01,50,35,0,
2016-03-02,46,25,0,
2016-03-03,52,35,0,
2016-03-04,51,35,0,
2016-03-05,42,18,0,
2016-03-06,42,29,0,
2016-03-07,67,33,0,
2016-03-08,63,49,0,
2016-03-09,54,34,0,
2016-03-10,56,42,0,
2016-03-11,53,23,0,
2016-03-12,37,15,0,
2016-03-13,54,34,0,
2016-03-14,38,27,0,
2016-03-15,51,32,0,
2016-03-16,55,31,0,
2016-03-17,48,22,0,
2016-03-18,46,23,0,
2016-03-19,43,18,0,
2016-03-20,44,31,0,
2016-03-21,147,65,1,BenitoJuárez
2016-03-22,32,16,0,
2016-03-23,36,26,0,
2016-03-24,39,22,0,
2016-03-25,122,56,1,SemanaSanta
2016-03-26,51,35,0,
2016-03-27,60,47,0,
2016-03-28,65,26,0,
2016-03-29,58,41,0,
2016-03-30,55,24,0,
2016-03-31,61,42,0,
2016-04-01,47,34,0,
2016-04-02,55,22,0,
2016-04-03,45,29,0,
2016-04-04,64,32,0,
2016-04-05,53,22,0,
2016-04-06,45,33,0,
2016-04-07,34,22,0,
2016-04-08,50,35,0,
2016-04-09,53,36,0,
2016-04-10,53,34,0,
2016-04-11,51,22,0,
2016-04-12,33,21,0,
2016-04-13,47,35,0,
2016-04-14,59,27,0,
2016-04-15,60,45,0,
2016-04-16,60,40,0,
2016-04-17,59,32,0,
2016-04-18,47,25,0,
2016-04-19,40,24,0,
2016-04-20,44,24,0,
2016-04-21,54,31,0,
2016-04-22,51,33,0,
2016-04-23,49,19,0,
2016-04-24,45,18,0,
2016-04-25,53,36,0,
2016-04-26,51,25,0,
2016-04-27,47,26,0,
2016-04-28,50,28,0,
2016-04-29,51,31,0,
2016-04-30,60,47,0,
2016-05-01,44,25,0,
2016-05-02,57,35,0,
2016-05-03,48,38,0,
2016-05-04,47,21,0,
2016-05-05,43,34,0,
2016-05-06,51,29,0,
2016-05-07,52,31,0,
2016-05-08,54,41,0,
2016-05-09,56,30,0,
2016-05-10,134,87,1,DíaMadre
2016-05-11,61,35,0,
2016-05-12,54,38,0,
2016-05-13,45,31,0,
2016-05-14,70,52,0,
2016-05-15,44,19,0,
2016-05-16,40,24,0,
2016-05-17,63,42,0,
2016-05-18,42,31,0,
2016-05-19,48,30,0,
2016-05-20,51,22,0,
2016-05-21,56,25,0,
2016-05-22,54,31,0,
2016-05-23,58,29,0,
2016-05-24,45,29,0,
2016-05-25,42,22,0,
2016-05-26,71,54,0,
2016-05-27,54,31,0,
2016-05-28,50,25,0,
2016-05-29,46,27,0,
2016-05-30,47,18,0,
2016-05-31,37,18,0,
2016-06-01,33,15,0,
2016-06-02,51,27,0,
2016-06-03,60,26,0,
2016-06-04,43,24,0,
2016-06-05,54,24,0,
2016-06-06,48,19,0,
2016-06-07,55,31,0,
2016-06-08,52,35,0,
2016-06-09,48,37,0,
2016-06-10,56,29,0,
2016-06-11,68,29,0,
2016-06-12,59,45,0,
2016-06-13,50,22,0,
2016-06-14,46,19,0,
2016-06-15,49,38,0,
2016-06-16,62,42,0,
2016-06-17,50,30,0,
2016-06-18,45,27,0,
2016-06-19,97,64,1,DíaPadre
2016-06-20,37,27,0,
2016-06-21,42,19,0,
2016-06-22,54,39,0,
2016-06-23,62,48,0,
2016-06-24,40,25,0,
2016-06-25,41,25,0,
2016-06-26,53,33,0,
2016-06-27,38,29,0,
2016-06-28,45,20,0,
2016-06-29,44,28,0,
2016-06-30,48,33,0,
2016-07-01,49,28,0,
2016-07-02,49,31,0,
2016-07-03,53,32,0,
2016-07-04,55,29,0,
2016-07-05,49,23,0,
2016-07-06,48,30,0,
2016-07-07,44,18,0,
2016-07-08,59,41,0,
2016-07-09,63,29,0,
2016-07-10,47,18,0,
2016-07-11,59,35,0,
2016-07-12,54,38,0,
2016-07-13,59,34,0,
2016-07-14,37,19,0,
2016-07-15,51,34,0,
2016-07-16,53,28,0,
2016-07-17,47,28,0,
2016-07-18,38,23,0,
2016-07-19,55,41,0,
2016-07-20,46,24,0,
2016-07-21,65,47,0,
2016-07-22,56,27,0,
2016-07-23,53,31,0,
2016-07-24,46,34,0,
2016-07-25,54,31,0,
2016-07-26,57,41,0,
2016-07-27,53,34,0,
2016-07-28,62,25,0,
2016-07-29,46,28,0,
2016-07-30,44,20,0,
2016-07-31,56,40,0,
2016-08-01,49,33,0,
2016-08-02,47,20,0,
2016-08-03,58,24,0,
2016-08-04,45,28,0,
2016-08-05,48,24,0,
2016-08-06,38,20,0,
2016-08-07,56,44,0,
2016-08-08,45,25,0,
2016-08-09,52,29,0,
2016-08-10,53,41,0,
2016-08-11,40,16,0,
2016-08-12,50,32,0,
2016-08-13,50,36,0,
2016-08-14,53,39,0,
2016-08-15,47,28,0,
2016-08-16,42,27,0,
2016-08-17,54,41,0,
2016-08-18,43,24,0,
2016-08-19,47,32,0,
2016-08-20,58,26,0,
2016-08-21,57,34,0,
2016-08-22,50,34,0,
2016-08-23,50,30,0,
2016-08-24,55,26,0,
2016-08-25,53,34,0,
2016-08-26,47,33,0,
2016-08-27,58,23,0,
2016-08-28,61,43,0,
2016-08-29,45,29,0,
2016-08-30,51,36,0,
2016-08-31,72,33,0,
2016-09-01,42,23,0,
2016-09-02,54,34,0,
2016-09-03,43,32,0,
2016-09-04,52,31,0,
2016-09-05,49,36,0,
2016-09-06,46,29,0,
2016-09-07,45,29,0,
2016-09-08,44,18,0,
2016-09-09,42,25,0,
2016-09-10,35,14,0,
2016-09-11,48,37,0,
2016-09-12,44,24,0,
2016-09-13,67,32,0,
2016-09-14,61,33,0,
2016-09-15,53,29,0,
2016-09-16,141,95,1,DíaIndependencia
2016-09-17,55,25,0,
2016-09-18,45,32,0,
2016-09-19,60,42,0,
2016-09-20,58,38,0,
2016-09-21,49,34,0,
2016-09-22,48,28,0,
2016-09-23,60,31,0,
2016-09-24,70,37,0,
2016-09-25,54,27,0,
2016-09-26,53,32,0,
2016-09-27,62,47,0,
2016-09-28,35,24,0,
2016-09-29,56,33,0,
2016-09-30,66,40,0,
2016-10-01,43,31,0,
2016-10-02,54,33,0,
2016-10-03,47,20,0,
2016-10-04,40,29,0,
2016-10-05,52,36,0,
2016-10-06,53,42,0,
2016-10-07,47,23,0,
2016-10-08,43,23,0,
2016-10-09,47,23,0,
2016-10-10,49,21,0,
2016-10-11,43,33,0,
2016-10-12,59,46,0,
2016-10-13,49,33,0,
2016-10-14,43,21,0,
2016-10-15,53,38,0,
2016-10-16,62,28,0,
2016-10-17,58,43,0,
2016-10-18,36,18,0,
2016-10-19,52,24,0,
2016-10-20,59,33,0,
2016-10-21,56,35,0,
2016-10-22,48,33,0,
2016-10-23,47,34,0,
2016-10-24,56,28,0,
2016-10-25,39,19,0,
2016-10-26,46,29,0,
2016-10-27,58,33,0,
2016-10-28,50,22,0,
2016-10-29,43,18,0,
2016-10-30,55,33,0,
2016-10-31,57,35,0,
2016-11-01,57,28,0,
2016-11-02,150,102,1,DíaMuertos
2016-11-03,52,26,0,
2016-11-04,38,28,0,
2016-11-05,43,25,0,
2016-11-06,48,20,0,
2016-11-07,50,35,0,
2016-11-08,48,22,0,
2016-11-09,48,24,0,
2016-11-10,46,31,0,
2016-11-11,49,28,0,
2016-11-12,48,35,0,
2016-11-13,60,42,0,
2016-11-14,67,50,0,
2016-11-15,46,27,0,
2016-11-16,54,25,0,
2016-11-17,48,26,0,
2016-11-18,49,22,0,
2016-11-19,49,36,0,
2016-11-20,126,53,1,RevoluciónMexicana
2016-11-21,44,28,0,
2016-11-22,53,40,0,
2016-11-23,52,23,0,
2016-11-24,43,19,0,
2016-11-25,50,37,0,
2016-11-26,50,20,0,
2016-11-27,63,44,0,
2016-11-28,48,20,0,
2016-11-29,53,39,0,
2016-11-30,52,23,0,
2016-12-01,36,25,0,
2016-12-02,49,33,0,
2016-12-03,57,42,0,
2016-12-04,53,41,0,
2016-12-05,54,36,0,
2016-12-06,49,32,0,
2016-12-07,57,38,0,
2016-12-08,66,33,0,
2016-12-09,51,30,0,
2016-12-10,46,18,0,
2016-12-11,69,39,0,
2016-12-12,53,33,0,
2016-12-13,49,24,0,
2016-12-14,52,29,0,
2016-12-15,49,24,0,
2016-12-16,48,26,0,
2016-12-17,48,29,0,
2016-12-18,45,27,0,
2016-12-19,36,15,0,
2016-12-20,61,45,0,
2016-12-21,58,26,0,
2016-12-22,54,30,0,
2016-12-23,55,42,0,
2016-12-24,61,34,0,
2016-12-25,124,80,1,Navidad
2016-12-26,57,32,0,
2016-12-27,54,35,0,
2016-12-28,55,42,0,
2016-12-29,46,20,0,
2016-12-30,49,24,0,
2016-12-31,47,24,0,
2017-01-01,125,67,1,AñoNuevo
2017-01-02,59,44,0,
2017-01-03,47,26,0,
2017-01-04,47,34,0,
2017-01-05,51,33,0,
2017-01-06,49,38,0,
2017-01-07,43,33,0,
2017-01-08,53,41,0,
2017-01-09,46,22,0,
2017-01-10,52,33,0,
2017-01-11,57,36,0,
2017-01-12,39,17,0,
2017-01-13,50,22,0,
2017-01-14,37,25,0,
2017-01-15,40,26,0,
2017-01-16,52,30,0,
2017-01-17,61,33,0,
2017-01-18,47,32,0,
2017-01-19,46,20,0,
2017-01-20,64,42,0,
2017-01-21,44,23,0,
2017-01-22,43,30,0,
2017-01-23,60,47,0,
2017-01-24,45,20,0,
2017-01-25,50,27,0,
2017-01-26,46,25,0,
2017-01-27,41,19,0,
2017-01-28,45,26,0,
2017-01-29,50,29,0,
2017-01-30,36,17,0,
2017-01-31,52,41,0,
2017-02-01,62,32,0,
2017-02-02,41,27,0,
2017-02-03,40,26,0,
2017-02-04,44,20,0,
2017-02-05,142,72,1,DíaConstitución
2017-02-06,44,31,0,
2017-02-07,48,34,0,
2017-02-08,38,25,0,
2017-02-09,63,28,0,
2017-02-10,42,22,0,
2017-02-11,38,19,0,
2017-02-12,43,33,0,
2017-02-13,57,28,0,
2017-02-14,41,19,0,
2017-02-15,36,16,0,
2017-02-16,33,24,0,
2017-02-17,58,36,0,
2017-02-18,45,35,0,
2017-02-19,51,31,0,
2017-02-20,55,42,0,
2017-02-21,52,27,0,
2017-02-22,65,26,0,
2017-02-23,60,38,0,
2017-02-24,48,27,0,
2017-02-25,51,33,0,
2017-02-26,52,37,0,
2017-02-27,46,36,0,
2017-02-28,45,33,0,
2017-03-01,46,19,0,
2017-03-02,52,38,0,
2017-03-03,61,40,0,
2017-03-04,51,38,0,
2017-03-05,46,31,0,
2017-03-06,44,21,0,
2017-03-07,46,30,0,
2017-03-08,54,34,0,
2017-03-09,66,29,0,
2017-03-10,45,31,0,
2017-03-11,62,47,0,
2017-03-12,54,34,0,
2017-03-13,51,29,0,
2017-03-14,51,21,0,
2017-03-15,46,24,0,
2017-03-16,49,35,0,
2017-03-17,54,30,0,
2017-03-18,58,25,0,
2017-03-19,41,32,0,
2017-03-20,48,24,0,
2017-03-21,135,100,1,BenitoJuárez
2017-03-22,37,15,0,
2017-03-23,47,25,0,
2017-03-24,58,43,0,
2017-03-25,62,35,0,
2017-03-26,53,37,0,
2017-03-27,51,34,0,
2017-03-28,52,21,0,
2017-03-29,63,44,0,
2017-03-30,49,21,0,
2017-03-31,54,29,0,
2017-04-01,41,16,0,
2017-04-02,56,40,0,
2017-04-03,46,28,0,
2017-04-04,53,37,0,
2017-04-05,61,44,0,
2017-04-06,49,20,0,
2017-04-07,52,25,0,
2017-04-08,50,22,0,
2017-04-09,50,26,0,
2017-04-10,66,34,0,
2017-04-11,35,14,0,
2017-04-12,55,43,0,
2017-04-13,48,24,0,
2017-04-14,106,48,1,SemanaSanta
2017-04-15,43,27,0,
2017-04-16,60,46,0,
2017-04-17,53,26,0,
2017-04-18,54,35,0,
2017-04-19,57,34,0,
2017-04-20,56,40,0,
2017-04-21,56,30,0,
2017-04-22,55,31,0,
2017-04-23,48,33,0,
2017-04-24,44,24,0,
2017-04-25,54,29,0,
2017-04-26,47,26,0,
2017-04-27,48,34,0,
2017-04-28,48,27,0,
2017-04-29,44,28,0,
2017-04-30,45,32,0,
2017-05-01,61,30,0,
2017-05-02,38,24,0,
2017-05-03,53,26,0,
2017-05-04,51,34,0,
2017-05-05,50,21,0,
2017-05-06,62,25,0,
2017-05-07,52,22,0,
2017-05-08,52,28,0,
2017-05-09,47,28,0,
2017-05-10,109,77,1,DíaMadre
2017-05-11,53,29,0,
2017-05-12,41,19,0,
2017-05-13,51,25,0,
2017-05-14,53,37,0,
2017-05-15,53,39,0,
2017-05-16,48,30,0,
2017-05-17,43,30,0,
2017-05-18,46,22,0,
2017-05-19,48,24,0,
2017-05-20,51,30,0,
2017-05-21,38,27,0,
2017-05-22,56,23,0,
2017-05-23,39,16,0,
2017-05-24,59,31,0,
2017-05-25,51,31,0,
2017-05-26,44,19,0,
2017-05-27,45,20,0,
2017-05-28,47,21,0,
2017-05-29,54,41,0,
2017-05-30,43,32,0,
2017-05-31,37,21,0,
2017-06-01,56,44,0,
2017-06-02,39,22,0,
2017-06-03,51,37,0,
2017-06-04,47,29,0,
2017-06-05,53,27,0,
2017-06-06,46,31,0,
2017-06-07,41,21,0,
2017-06-08,67,48,0,
2017-06-09,50,33,0,
2017-06-10,59,25,0,
2017-06-11,65,28,0,
2017-06-12,46,35,0,
2017-06-13,52,28,0,
2017-06-14,42,26,0,
2017-06-15,41,17,0,
2017-06-16,57,27,0,
2017-06-17,52,34,0,
2017-06-18,113,73,1,DíaPadre
2017-06-19,45,22,0,
2017-06-20,59,37,0,
2017-06-21,53,23,0,
2017-06-22,50,31,0,
2017-06-23,64,27,0,
2017-06-24,49,20,0,
2017-06-25,53,32,0,
2017-06-26,44,19,0,
2017-06-27,52,28,0,
2017-06-28,44,24,0,
2017-06-29,63,44,0,
2017-06-30,47,35,0,
2017-07-01,53,22,0,
2017-07-02,58,34,0,
2017-07-03,55,40,0,
2017-07-04,46,35,0,
2017-07-05,62,25,0,
2017-07-06,43,21,0,
2017-07-07,70,29,0,
2017-07-08,43,26,0,
2017-07-09,44,19,0,
2017-07-10,53,40,0,
2017-07-11,67,42,0,
2017-07-12,54,34,0,
2017-07-13,50,33,0,
2017-07-14,47,21,0,
2017-07-15,49,38,0,
2017-07-16,45,20,0,
2017-07-17,57,44,0,
2017-07-18,46,29,0,
2017-07-19,44,18,0,
2017-07-20,56,41,0,
2017-07-21,48,31,0,
2017-07-22,54,25,0,
2017-07-23,47,30,0,
2017-07-24,42,16,0,
2017-07-25,53,22,0,
2017-07-26,50,25,0,
2017-07-27,52,38,0,
2017-07-28,51,28,0,
2017-07-29,49,26,0,
2017-07-30,40,28,0,
2017-07-31,52,33,0,
2017-08-01,62,29,0,
2017-08-02,61,33,0,
2017-08-03,39,25,0,
2017-08-04,52,37,0,
2017-08-05,44,32,0,
2017-08-06,42,28,0,
2017-08-07,53,30,0,
2017-08-08,53,24,0,
2017-08-09,41,30,0,
2017-08-10,44,23,0,
2017-08-11,38,20,0,
2017-08-12,51,21,0,
2017-08-13,50,34,0,
2017-08-14,54,38,0,
2017-08-15,57,41,0,
2017-08-16,53,27,0,
2017-08-17,50,25,0,
2017-08-18,51,21,0,
2017-08-19,46,21,0,
2017-08-20,45,25,0,
2017-08-21,41,29,0,
2017-08-22,66,51,0,
2017-08-23,37,27,0,
2017-08-24,46,18,0,
2017-08-25,48,29,0,
2017-08-26,52,30,0,
2017-08-27,50,36,0,
2017-08-28,49,33,0,
2017-08-29,50,38,0,
2017-08-30,55,31,0,
2017-08-31,50,31,0,
2017-09-01,58,33,0,
2017-09-02,45,33,0,
2017-09-03,52,28,0,
2017-09-04,64,41,0,
2017-09-05,53,36,0,
2017-09-06,66,39,0,
2017-09-07,50,27,0,
2017-09-08,46,30,0,
2017-09-09,44,18,0,
2017-09-10,48,33,0,
